cell	cancer	p_value	Odds Ratio	Low 95% CI	High 95% CI	sig	sigAndOR
CD8 T cell	BLCA	8.84E-43	0.389722949	0.336246441	0.450500734	sig	0
CD8 T cell	SKCM	2.51E-57	4.5196709	3.748266568	5.455534832	sig	1
CD8 T cell	STAD	2.08E-77	7.646569628	6.008453905	9.809517825	sig	1
CD8 T cell	PRAD	1.65E-154	0.205913431	0.18087126	0.233951327	sig	0
CD8 T cell	THCA	3.16E-16	2.152711531	1.786344022	2.595090669	sig	1
CD8 T cell	HNSC	3.44E-48	5.033434749	3.986944752	6.387183414	sig	1
CD8 T cell	OV	3.31E-10	2.735301879	1.939735499	3.93084838	sig	1
CD8 T cell	UCEC	0.117366334	1.434764544	0.889846942	2.276210067	non_sig	0
CD8 T cell	UCS	0.096244795	0.884189309	0.763692277	1.022550418	non_sig	0
CD8 T cell	COAD	3.05E-09	1.904026019	1.536031171	2.357283849	sig	1
CD8 T cell	READ	0.877800494	0.98038507	0.795117447	1.20325009	non_sig	0
CD8 T cell	LUAD	7.89E-33	6.119859687	4.352458396	8.765935778	sig	1
CD8 T cell	LUSC	1.38E-63	5.335864618	4.335722138	6.591074347	sig	1
CD8 T cell	BRCA	6.17E-34	3.404556707	2.746055398	4.244241409	sig	1
CD8 T cell	GBM	0.261207325	1.23525101	0.845142897	1.794838808	non_sig	0
CD8 T cell	LGG	3.53E-79	0.20283205	0.164768987	0.247761904	sig	0
CD8 T cell	KICH	1.13E-56	0.326842113	0.279785789	0.380512861	sig	0
CD8 T cell	KIRP	0.000118367	0.757534447	0.654703605	0.874737423	sig	0
CD8 T cell	KIRC	3.55E-24	4.243149332	3.158098345	5.741601049	sig	1
Neutrophil	CHOL	3.03E-11	1.457808394	1.302380378	1.632125046	sig	1
Neutrophil	DLBC	0.195164134	0.917500992	0.80515578	1.044601629	non_sig	0
Neutrophil	UVM	0.063418514	1.175822614	0.988689123	1.395133957	non_sig	0
Neutrophil	MESO	0.013049523	1.37207811	1.063064991	1.765166298	sig	1
Neutrophil	THYM	6.70E-59	0.319719789	0.275479777	0.370330565	sig	0
Neutrophil	TGCT	8.08E-23	1.935211934	1.685353893	2.226723555	sig	1
Neutrophil	ESCA	4.19E-63	4.25245438	3.561156803	5.089268379	sig	1
Neutrophil	PAAD	8.46E-05	1.334731071	1.152825482	1.5470792	sig	1
Neutrophil	SARC	2.46E-17	2.182458028	1.815237445	2.625307411	sig	1
Neutrophil	PCPG	1.44E-21	0.42025033	0.343779593	0.510533482	sig	0
Neutrophil	ACC	1.26E-10	1.755315048	1.478022861	2.081066904	sig	1
Neutrophil	CESC	1.88E-32	3.643130966	2.90201721	4.59560033	sig	1
Neutrophil	LIHC	1.81E-19	2.241877413	1.871152822	2.690358498	sig	1
Neutrophil	BLCA	0.622655953	1.029296001	0.917328545	1.154245973	non_sig	0
Neutrophil	SKCM	9.62E-45	3.171891182	2.70141386	3.723843647	sig	1
Neutrophil	STAD	3.19E-72	6.256583196	5.02773163	7.826581968	sig	1
Neutrophil	PRAD	0.504293753	0.959553926	0.850337993	1.082789705	non_sig	0
Neutrophil	THCA	0.353380129	1.053252742	0.941976633	1.177092869	non_sig	0
Neutrophil	HNSC	5.55E-22	2.629649644	2.152006199	3.216345169	sig	1
Neutrophil	OV	0.181656055	0.887685476	0.743924481	1.060134366	non_sig	0
Neutrophil	UCEC	0.816683373	1.041458871	0.75822645	1.416130164	non_sig	0
Neutrophil	UCS	4.26E-07	1.374128578	1.212901426	1.556564912	sig	1
Neutrophil	COAD	1.81E-18	2.076970758	1.762134461	2.446776373	sig	1
Neutrophil	READ	0.304478914	1.130642802	0.888778484	1.429974472	non_sig	0
Neutrophil	LUAD	4.49E-31	2.721840845	2.28379592	3.24916132	sig	1
Neutrophil	LUSC	6.14E-56	2.838434347	2.489997066	3.236740047	sig	1
Neutrophil	BRCA	1.91E-46	3.836786058	3.13452798	4.720593447	sig	1
Neutrophil	GBM	0.017806782	0.671331884	0.472283848	0.941736323	sig	0
Neutrophil	LGG	6.59E-13	1.571739456	1.388915164	1.777446275	sig	1
Neutrophil	KICH	1	0.998124067	0.69529486	1.410532238	non_sig	0
Neutrophil	KIRP	5.30E-47	4.323131955	3.519804586	5.321488817	sig	1
Neutrophil	KIRC	5.68E-06	1.585573238	1.296550605	1.936253085	sig	1
Macrophage	CHOL	5.07E-05	1.289490873	1.138245304	1.461023845	sig	1
Macrophage	DLBC	0.003392111	1.35943365	1.103899594	1.671626803	sig	1
Macrophage	UVM	2.93E-05	0.555025779	0.407445451	0.743336804	sig	0
Macrophage	MESO	0.109243773	1.22630917	0.951495727	1.574388632	non_sig	0
Macrophage	THYM	1.24E-66	3.119138224	2.717996052	3.585974058	sig	1
Macrophage	TGCT	0.039157018	1.522066155	1.011687973	2.341812264	sig	1
Macrophage	ESCA	2.68E-17	1.908817536	1.641417774	2.219059719	sig	1
Macrophage	PAAD	0.490122129	1.044801719	0.921989823	1.184452634	non_sig	0
Macrophage	SARC	0.033507305	1.13689885	1.008355175	1.281252479	sig	1
Macrophage	PCPG	6.16E-07	0.644979565	0.536686818	0.77181048	sig	0
Macrophage	ACC	2.21E-09	1.659193739	1.405093368	1.955862087	sig	1
Macrophage	CESC	9.10E-09	2.992412612	2.010301474	4.514945153	sig	1
Macrophage	LIHC	3.37E-35	2.790365468	2.354942078	3.31280353	sig	1
Macrophage	BLCA	1.35E-38	4.21477413	3.354043046	5.316103048	sig	1
Macrophage	SKCM	8.73E-62	6.135054658	4.90975219	7.688956216	sig	1
Macrophage	STAD	1.86E-108	4.593331065	3.991113711	5.292994432	sig	1
Macrophage	PRAD	3.16E-13	0.642922176	0.569409678	0.725558775	sig	0
Macrophage	THCA	1.23E-77	0.274411924	0.235069462	0.31926651	sig	0
Macrophage	HNSC	3.52E-49	4.38732495	3.565030011	5.417497415	sig	1
Macrophage	OV	0.009457847	0.681408508	0.506746094	0.916170139	sig	0
Macrophage	UCEC	4.56E-11	4.616833391	2.84128322	7.640724195	sig	1
Macrophage	UCS	0.966034415	0.993586868	0.837138768	1.177758947	non_sig	0
Macrophage	COAD	3.05E-20	2.460666448	2.028425315	2.985110256	sig	1
Macrophage	READ	2.57E-06	1.69041297	1.357180729	2.099045569	sig	1
Macrophage	LUAD	1.34E-25	4.269565417	3.172436964	5.806440062	sig	1
Macrophage	LUSC	6.34E-89	6.877124052	5.592206939	8.499777552	sig	1
Macrophage	BRCA	5.30E-26	4.619756479	3.343588863	6.491374254	sig	1
Macrophage	GBM	0.115768961	0.62810257	0.336956447	1.119011338	non_sig	0
Macrophage	LGG	2.00E-27	2.044410346	1.797312086	2.324186782	sig	1
Macrophage	KICH	2.11E-37	0.349611351	0.290769483	0.418173254	sig	0
Macrophage	KIRP	0.416715675	1.090584419	0.878007909	1.349017446	non_sig	0
Macrophage	KIRC	0.020410444	1.282616438	1.033190699	1.588101896	sig	1
Dendritic	CHOL	1.68E-05	1.340085591	1.171177408	1.533644231	sig	1
Dendritic	DLBC	0.697817323	0.961407314	0.789083212	1.168301663	non_sig	0
Dendritic	UVM	0.001738722	0.681995882	0.527147761	0.873125989	sig	0
Dendritic	MESO	2.17E-08	0.683839723	0.595438816	0.78405978	sig	0
Dendritic	THYM	1.31E-127	3.175157072	2.879609083	3.502509894	sig	1
Dendritic	TGCT	5.63E-93	3.32301703	2.931100307	3.774449851	sig	1
Dendritic	ESCA	0.000247303	1.410740793	1.171003649	1.696992251	sig	1
Dendritic	PAAD	1.57E-09	0.690413864	0.611318799	0.779654703	sig	0
Dendritic	SARC	7.95E-14	1.601683096	1.414074694	1.8136536	sig	1
Dendritic	PCPG	1.30E-19	2.485925576	2.042557869	3.0226634	sig	1
Dendritic	ACC	6.19E-05	1.47170448	1.2162358	1.775885041	sig	1
Dendritic	CESC	2.06E-31	3.059064616	2.51269034	3.734261934	sig	1
Dendritic	LIHC	9.30E-48	3.69615126	3.059280975	4.480970239	sig	1
Dendritic	BLCA	2.56E-05	0.794402671	0.712025168	0.885823631	sig	0
Dendritic	SKCM	3.97E-81	5.354349681	4.491273792	6.390027247	sig	1
Dendritic	STAD	9.31E-78	4.896922415	4.106184209	5.85524135	sig	1
Dendritic	PRAD	3.61E-24	0.551894572	0.490400592	0.620732883	sig	0
Dendritic	THCA	0.157952146	1.083751821	0.969104038	1.211419809	non_sig	0
Dendritic	HNSC	2.05E-39	3.295422505	2.743677165	3.963949109	sig	1
Dendritic	OV	0.055841765	1.212101467	0.992643067	1.483883019	non_sig	0
Dendritic	UCEC	2.48E-09	2.573250533	1.874458379	3.532028966	sig	1
Dendritic	UCS	1	1.000852165	0.874137923	1.145145645	non_sig	0
Dendritic	COAD	1.16E-20	2.096369645	1.792187944	2.451352754	sig	1
Dendritic	READ	1.37E-09	1.827887036	1.503389057	2.218150475	sig	1
Dendritic	LUAD	5.82E-38	2.914265545	2.461449198	3.456468558	sig	1
Dendritic	LUSC	8.05E-65	3.124147738	2.734925747	3.569324423	sig	1
Dendritic	BRCA	1.48E-65	4.98880286	4.047006466	6.189958633	sig	1
Dendritic	GBM	0.013170057	1.268673271	1.04757687	1.534542803	sig	1
Dendritic	LGG	9.69E-15	1.63166283	1.441247365	1.846071234	sig	1
Dendritic	KICH	9.71E-09	0.683089484	0.596537839	0.78091707	sig	0
Dendritic	KIRP	7.09E-13	1.995476604	1.651584258	2.408233285	sig	1
Dendritic	KIRC	1.26E-10	1.908943876	1.563081874	2.329895107	sig	1
