phylum	352416_SOCS_CHL_STL_DNA	352576_SOCS_CHL_STL_DNA	1293818_SOCS_CHL_STL_DNA_01_C_S28	10009043_ND_VAR_STLOMN_DNA_01	10009052_ND_VAR_STLOMN_DNA_01	10009055_ND_VAR_STLOMN_DNA_01	10010105_ND_VAR_STLOMN_DNA_01	10010108_ND_VAR_STLOMN_DNA_01	10010113_ND_VAR_STLOMN_DNA_01	10010115_ND_VAR_STLOMN_DNA_01	10010227_ND_VAR_STLOMN_DNA_01	10010232_ND_VAR_STLOMN_DNA_01	10010239_ND_VAR_STLOMN_DNA_01	10010243_ND_VAR_STLOMN_DNA_01	10010465_ND_VAR_STLOMN_DNA_01	10010469_ND_VAR_STLOMN_DNA_01	10010471_ND_VAR_STLOMN_DNA_01	10010472_ND_VAR_STLOMN_DNA_01	10010474_ND_VAR_STLOMN_DNA_01	10010480_ND_VAR_STLOMN_DNA_01	10010481_ND_VAR_STLOMN_DNA_01	10010482_ND_VAR_STLOMN_DNA_01	10010483_ND_VAR_STLOMN_DNA_01	10010503_ND_VAR_STLOMN_DNA_01	10010515_ND_VAR_STLOMN_DNA_01	10010520_ND_VAR_STLOMN_DNA_01	10010522_ND_VAR_STLOMN_DNA_01	10010523_ND_VAR_STLOMN_DNA_01	10010600_ND_VAR_STLOMN_DNA_01	10010676_ND_VAR_STLOMN_DNA_01	10010682_ND_VAR_STLOMN_DNA_01	10010688_ND_VAR_STLOMN_DNA_01	10011899_ND_VAR_STLOMN_DNA_01	10011901_ND_VAR_STLOMN_DNA_01	10012005_ND_VAR_STLOMN_DNA_01	10012178_ND_VAR_STLOMN_DNA_01	10012355_ND_VAR_STLOMN_DNA_01	10012358_ND_VAR_STLOMN_DNA_01	10012359_ND_VAR_STLOMN_DNA_01	10012367_ND_VAR_STLOMN_DNA_01	10012371_ND_VAR_STLOMN_DNA_01	10012405_ND_VAR_STLOMN_DNA_01	10012409_ND_VAR_STLOMN_DNA_01	10012417_ND_VAR_STLOMN_DNA_01	10012632_ND_VAR_STLOMN_DNA_01	10012633_ND_VAR_STLOMN_DNA_01	10012634_ND_VAR_STLOMN_DNA_01	10012635_ND_VAR_STLOMN_DNA_01	10012636_ND_VAR_STLOMN_DNA_01	10012637_ND_VAR_STLOMN_DNA_01	10012639_ND_VAR_STLOMN_DNA_01	10012640_ND_VAR_STLOMN_DNA_01	10012642_ND_VAR_STLOMN_DNA_01	10012643_ND_VAR_STLOMN_DNA_01	10012644_ND_VAR_STLOMN_DNA_01	10012645_ND_VAR_STLOMN_DNA_01	10012646_ND_VAR_STLOMN_DNA_01	10012647_ND_VAR_STLOMN_DNA_01	10012648_ND_VAR_STLOMN_DNA_01	10013271_ND_VAR_STLOMN_DNA_01	10013280_ND_VAR_STLOMN_DNA_01	10013287_ND_VAR_STLOMN_DNA_01	10013721_ND_VAR_STLOMN_DNA_01	314196_SOCS_CHL_STL_DNA	314132_SOCS_CHL_STL_DNA	314164_SOCS_CHL_STL_DNA	352640_SOCS_CHL_STL_DNA	352448_SOCS_CHL_STL_DNA	352512_SOCS_CHL_STL_DNA	352480_SOCS_CHL_STL_DNA	352608_SOCS_CHL_STL_DNA	352384_SOCS_CHL_STL_DNA	352672_SOCS_CHL_STL_DNA	352544_SOCS_CHL_STL_DNA	659041_SOCS_CHL_STL_DNA	658945_SOCS_CHL_STL_DNA	1294804_SOCS_ZTA_STL_DNA_01_A_S23	1896846_SOCS_CHEM_STL_DNA_01_C_S73	1896878_SOCS_CHEM_STL_DNA_01_C_S21	2457183_SOCS_CHEM_STL_DNA_01_A_S70	2457151_SOCS_CHEM_STL_DNA_01_C_S18	1896814_SOCS_CHEM_STL_DNA_01_B_S54	3537806_SOCS_CHEM_STL_DNA_01_C_S69	2457119_SOCS_CHEM_STL_DNA	10007208_SOCS_CHEM_STL_DNA	10007207_SOCS_CHEM_STL_DNA	3537710_SOCS_CHEM_STL_DNA	10007202_SOCS_CHEM_STL_DNA	10010095_SOCS_VAR_STLOMN_DNA	10010104_SOCS_VAR_STLOMN_DNA	10010413_SOCS_CHEM_STLOMN_DNA	10010407_SOCS_CHEM_STLOMN_DNA	10010759_SOCS_VAR_STLOMN_DNA	10010746_SOCS_VAR_STLOMN_DNA	10010751_SOCS_VAR_STLOMN_DNA	10010749_SOCS_VAR_STLOMN_DNA	10011433_SOCS_VAR_STLOMN_DNA_01	10012797_SOCS_VAR_STLOMN_DNA_01	10012798_SOCS_VAR_STLOMN_DNA_01	10017598_SOCS_VAR_STLOMN_DNA_01	10017820_SOCS_VAR_STLOMN_DNA_01	10017597_SOCS_VAR_STLOMN_DNA_01	10017827_SOCS_VAR_STLOMN_DNA_01	10017832_SOCS_VAR_STLOMN_DNA_01	10017593_SOCS_VAR_STLOMN_DNA_01	10017601_SOCS_VAR_STLOMN_DNA_01	10017594_SOCS_VAR_STLOMN_DNA_01	10017818_SOCS_VAR_STLOMN_DNA_01	10022766_SOCS_VAR_STLOMN_DNA_01
Clostridium_sensu_stricto_1	1.312851317	0.813932481	1.118824495	0.664648085	1.508913088	1.661653255	0	1.082951519	1.13570043	2.530724155	1.161374279	2.00494757	1.261293043	0.839341289	0	1.508913088	1.337754685	0	1.213156244	0	0	0	0	1.293087937	1.904534356	1.983154268	1.312991618	2.306194887	1.217232458	1.458791285	0	0	0	0	1.111295616	1.155626036	0	1.187503439	3.383663964	0	1.569277697	0	1.902310839	0	0.906390504	1.058431563	0.954667074	0	2.101817958	2.047283773	1.398048977	1.914993708	1.103465026	2.168513746	0	0.706036649	1.12837803	2.337935868	1.252001945	1.144075306	0	0.465131641	1.124831635	0	1.28041716	1.17371425	0.428819663	2.082169575	0	0	0	1.379334936	1.280214165	0	0	1.199475165	1.48591622	0	1.275941308	2.825165668	0	0	3.844476504	1.094168607	0.781850174	0	1.672008785	0	1.158244194	0	0	1.186007649	3.188546916	0.760928741	1.397918632	3.313353749	0	1.901806741	0	0	1.311053199	0	0	0	0	0	0.667492587	0	2.691933739
Asteroleplasma	0	0	1.092133044	3.025004896	0	2.104602731	4.11823056	0	1.401126277	1.353017844	0	0	0	0	0	0	1.270680703	0	2.2007022	0	0	0	0	0	0	0	0	0	0	0.827067158	0	0	0.779764263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.358168768	2.099913895	0	0	0	1.969674608	0	0	0	0	3.882052497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.667289669	0	0	0	2.253301539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.930804388	0	0	0	0	0	0	0	0	0
Streptococcus	2.421380163	2.341518825	0.905960863	2.039818281	0.997242564	1.521919193	1.651270233	1.003702014	1.05555455	1.498582089	2.088142775	2.513848115	1.661370567	0.772555444	1.769216247	1.057900313	1.056233847	2.457102809	1.46955514	0	0	2.009977967	1.905874037	1.873104335	2.556088298	2.014755924	1.410025807	1.501345821	1.972862986	0.770767472	1.552435476	2.308036587	2.145976068	1.977103356	0	1.075168465	2.192773218	1.943723495	1.862289025	1.025525606	2.19699844	0	0	0.71452393	2.107544142	2.634935754	0	3.734116554	2.073435307	2.337627917	2.49458194	1.495357952	1.857572711	1.23158275	1.183917188	2.390796315	1.489317424	2.07548428	2.199772324	1.945982303	2.082567536	2.344074776	2.194121702	3.007612866	1.779219273	1.89815533	3.151503797	2.532135271	0.434406342	0.6748151	1.320807971	2.196096097	2.911162548	4.035739504	1.948201349	2.485820727	1.87072577	2.451773586	1.344938073	2.776989983	2.274165499	1.103265111	1.987917001	1.470606883	2.696059927	3.049175831	3.255727246	0	0.926459011	1.578120598	1.079568662	1.820272194	2.07908298	2.011528118	2.094250692	1.132233456	2.742400333	1.537160378	1.004100734	2.630246967	2.214938466	1.946579803	2.043529594	1.673849888	1.62144787	1.738907831	3.000923581	2.007657353	2.363356741
Fusobacterium	0	0	0	1.510194976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.427078247	0	0	0	0	0	1.493234309	0	0	0	0	0	1.357278815	0	0	0	0	1.430242192	0	1.165911685	0	1.95373571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.904372565	2.167985525	0.687185127	1.326556135	1.15576962	1.619954545	3.808632892	0	0	1.305200981	0	0	2.280144458	0	0	0	3.226458243	3.439801499	1.763134101	1.459170394	3.253859013	1.802842758	0	0	1.503631118	1.630190702	2.149711042	0	2.029152129	0.92612644	2.678406724	2.286992319	1.297514773	0	0	0	2.623632042	0	2.651829006	0.749142358	3.353534709	2.577056386	0	1.46673107	1.253764686	2.933074244
Lachnospiraceae_UCG-003	1.874264995	0	1.078145834	0	0	0	0	2.100988683	0	0	0	0	0	0	2.027579206	0	0	0	2.80668644	0	0	2.73302155	0	0	0	0	0	2.868902925	0	0	0	0	2.988406053	0	0	0	0	0	2.289396525	0	0	0	0	0	0	0	0	0	0	2.900646429	0	0	0	0	0	0	0	0	0.511704364	0	3.21297589	0	0	0	0	0	0	0	0	0	0	1.860990825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.100176275
Ruminiclostridium_9	0	1.627002414	1.879902843	2.156516512	2.001824048	2.492724466	1.855837337	2.559194458	2.311409121	1.7532273	1.747418429	2.267800766	2.250695663	2.443549464	1.931686931	2.395538346	2.102526459	1.910052227	2.206655086	1.903694309	2.318266493	2.119916109	1.893961442	2.436899605	2.502517277	2.071798778	1.736623961	2.134813178	2.265533904	2.160467473	2.244426551	2.360248175	2.006237156	2.532086911	1.395186027	2.139014034	2.647438516	2.594318858	1.933921273	2.269287028	1.548673435	3.017708731	2.067706496	2.542786512	2.36130722	1.995533206	2.307971293	2.451202083	2.508351452	2.099913895	2.763613763	2.167099247	2.118560895	2.263649111	2.440516152	2.917468419	1.838860045	2.055909959	2.196678812	2.693822007	2.137229458	2.154032371	1.961042805	0.818228723	2.052014458	1.324363929	1.975315721	1.441358366	2.380099951	2.294022172	1.773580924	1.220293885	1.047703238	0	2.251809183	1.795446919	1.634302572	0	2.014472355	0.710073157	1.433473279	0	2.017877942	1.350539149	2.403008282	0	0.917066057	1.947025696	2.731049855	2.554343251	2.115197107	1.186007649	0.646590851	1.471296261	2.252174656	1.709581351	1.90132706	2.058010651	2.374087818	1.917628619	1.674254855	1.692670787	2.527044713	0	1.906394248	2.386676196	2.060983859	2.302901785	1.873231738
Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08351821	0	0	0	0	0	0	0	2.431489215	0	0	0	0	0	0	0	0	0	0	0	0	0	2.238299048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78688854	2.96505543	0	0	0	0	0	0	0	0	2.456683907	0	0	0	0	0	0	0	1.076117521	0	0	0	0	0	0	3.188612033	3.39593813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_Ga6A1_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.547604759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.487345521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Victivallis	0	0	1.063693107	2.19496587	0.737856654	2.02610362	1.045616599	0	1.313394665	1.386295502	0	2.130961541	0	1.355298673	1.743861117	1.803163129	1.014695233	1.595835091	1.720047375	2.063376624	1.00018373	0	0	0	2.063158173	1.783180142	1.592039262	0.952534978	0.941770941	1.895229947	2.639154611	0	1.991661495	0	0	2.139014034	2.242602644	1.432951491	0	1.250648999	0	0	0	1.26871201	1.651068399	0	1.041826895	0	2.161251397	1.714590022	1.291934709	2.115298417	1.627006876	0	1.910006178	0	1.811945425	2.042352432	1.252001945	0	1.477146179	1.80039599	0	1.190558914	0.632050671	1.255538839	0	0	0	2.342635911	0	0	0	0	0	1.324820238	1.358327853	0	1.23684316	0	1.547744569	0.730911191	1.564949103	0	0	0	0	0.895646962	0	0	0	1.643840608	0	0	1.419889696	0	0	2.188118448	0	0	0.919083717	0	0	0	0	0	1.109371955	0	0
Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0.829330967	0	0.636824511	0	0	1.052845945	0	0	0	0	0	1.76525113	0	0.701887592	0	0	1.894605352	0.259229489	0	0	0	0	0	0	0.794335267	0	0	0	0	0	0	0	0	0	0	2.197157182	0	0	0.901434523	0	0	0	0	0.570700383	1.071173446	0	1.828244042	0	0	0.566512447	0	0.638292105	0	0.751230982	1.326556135	1.461798494	0	0	0	2.3846241	3.611028874	3.124102575	0	0.493951526	0	0	0	3.474978667	0	0	0	0	0.547240475	0.702428929	0.822687033	0	0	0	0.452571177	1.632819034	2.00962645	0	0	0	1.051618449	0	0	1.308682907	0.768396718	1.899228868	2.106662604	0.667133249	0	1.31485977	1.947483644	1.136822341	0.991674725
